facility_id,facility_name,betweenness_centrality,in_degree_centrality,out_degree_centrality,in_degree_raw,out_degree_raw,clustering_coefficient,pagerank,avg_incident_delay,avg_sla_breach_rate,total_trip_volume,centrality_rank,centrality_tier
IND201301AAM,NOIDA_SECTOR63_L (UTTAR PRADESH),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00028645822846439114,1.7434640522875817,1.0,66,1222,Tier 3 — Local Spoke
IND758034AAA,JODA_CENTRAL_D_1 (ORISSA),0.0,0.0006038647342995169,0.0018115942028985505,1,3,1.0,0.00046230232603192644,2.407986111111111,1.0,17,1223,Tier 3 — Local Spoke
IND757037AAA,KARANJIA_SARUBALI_D (ORISSA),0.0,0.0018115942028985505,0.0012077294685990338,3,2,1.0,0.0009405715852957096,1.7636225557855993,1.0,19,1224,Tier 3 — Local Spoke
IND301019AAA,BHIWADI DC (RAJASTHAN),0.0,0.0,0.0012077294685990338,0,2,1.0,0.00011994491700815865,2.8205882352941174,1.0,8,1225,Tier 3 — Local Spoke
IND801103AAA,BIHTA_SHIVNGAR_D (BIHAR),0.0,0.0,0.0006038647342995169,0,1,0.0,0.00011994491700815865,2.6666666666666665,1.0,11,1226,Tier 3 — Local Spoke
IND802301AAA,ARRAH_KATIRA_D (BIHAR),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00022190871965726834,1.8144419306184012,0.65,21,1227,Tier 3 — Local Spoke
IND124103AAA,JHAJJAR_DC (HARYANA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0002817007052799273,1.996031746031746,1.0,22,1228,Tier 3 — Local Spoke
IND713103AAA,BARDHAMAN_BANKURA_D (WEST BENGAL),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0004854782326895188,2.28236984448952,1.0,10,1229,Tier 3 — Local Spoke
IND400102AAB,MUMBAI_JOGESHWRI_L (MAHARASHTRA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0003901485331225704,2.06993006993007,1.0,53,1230,Tier 3 — Local Spoke
IND431203AAA,JALNA_BHGYANGR_D (MAHARASHTRA),0.0,0.0006038647342995169,0.0012077294685990338,1,2,1.0,0.00033527336346483915,2.0265151515151514,1.0,27,1231,Tier 3 — Local Spoke
IND431112AAB,SILLOD_ZEBATWR_D (MAHARASHTRA),0.0,0.0012077294685990338,0.0006038647342995169,2,1,1.0,0.000524533056253859,2.3511904761904763,1.0,22,1232,Tier 3 — Local Spoke
IND524003AAA,NELLORE_DC (ANDHRA PRADESH),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0003024228497698079,1.6488095238095237,0.9642857142857143,28,1233,Tier 3 — Local Spoke
IND110035AAC,DELHI_NORTH_R_8 (DELHI),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00027301898916197974,1.7175324675324677,0.9722222222222222,39,1234,Tier 3 — Local Spoke
IND414203AAB,ASHTI_SAVTAHTL_D (MAHARASHTRA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0002034441111773739,1.6319444444444444,1.0,2,1235,Tier 3 — Local Spoke
IND431001AAB,AURANGABAD_PRATPNGR_D (MAHARASHTRA),0.0,0.0,0.0006038647342995169,0,1,0.0,0.00011994491700815865,2.853535353535354,1.0,18,1236,Tier 3 — Local Spoke
IND713130AAA,KATWA_BSARANI_D (WEST BENGAL),0.0,0.0012077294685990338,0.0012077294685990338,2,2,0.3333333333333333,0.00040079570919832454,2.514010989010989,1.0,34,1237,Tier 3 — Local Spoke
IND741156AAA,PLASSEY_BTAIROAD_D (WEST BENGAL),0.0,0.0006038647342995169,0.0012077294685990338,1,2,0.0,0.000726225489293465,2.503282828282828,1.0,41,1238,Tier 3 — Local Spoke
IND110037AAK,DELHI_KAPSHERA_L (DELHI),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0002412617582119852,1.4155844155844157,0.7623732856290997,82,1239,Tier 3 — Local Spoke
IND673573AAA,THAMARASSERY_CHUNGAM_D (KERALA),0.0,0.0,0.0006038647342995169,0,1,0.0,0.00011994491700815865,1.7053846153846153,1.0,12,1240,Tier 3 — Local Spoke
IND126112AAA,SAFIDON_HATRDDPP_D (HARYANA),0.0,0.0,0.0006038647342995169,0,1,0.0,0.00011994491700815865,1.857843137254902,0.9375,16,1241,Tier 3 — Local Spoke
IND534001AAA,ELURU_AGRAHARM_DC (ANDHRA PRADESH),0.0,0.0006038647342995169,0.0012077294685990338,1,2,0.6666666666666666,0.00027429979069920846,2.2668687650498796,1.0,19,1242,Tier 3 — Local Spoke
IND521333AAA,KAIKALURU_ATAPAKA_D (ANDHRA PRADESH),0.0,0.0012077294685990338,0.0006038647342995169,2,1,0.6666666666666666,0.0004113588494743082,2.3685079966329963,1.0,32,1243,Tier 3 — Local Spoke
IND521301AAA,GUDIVADA_GVRCOMPX_D (ANDHRA PRADESH),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0003578066981282499,1.5208333333333335,1.0,38,1244,Tier 3 — Local Spoke
IND521001AAA,MACHILIPATNAM_DC (ANDHRA PRADESH),0.0,0.0012077294685990338,0.0012077294685990338,2,2,0.6666666666666666,0.0007181022279302889,1.9012896825396826,1.0,28,1245,Tier 3 — Local Spoke
IND509324AAA,KALWAKURTHY_VIDYANGR_D (TELANGANA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0002301773988050585,1.9362745098039218,0.9444444444444444,17,1246,Tier 3 — Local Spoke
IND110052AAA,DELHI_WAZIRPUR_L (DELHI),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00026934436034250055,1.5885416666666667,1.0,12,1247,Tier 3 — Local Spoke
IND742149AAA,MURSHIDABAD_SIRJUDOL_D (WEST BENGAL),0.0,0.0,0.0012077294685990338,0,2,1.0,0.00011994491700815865,2.833333333333333,1.0,15,1248,Tier 3 — Local Spoke
IND742148AAA,LALGOLA_KRSPRDPP_D (WEST BENGAL),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.00017392575370474614,3.3452380952380953,1.0,30,1249,Tier 3 — Local Spoke
IND110020AAB,OK_RPC (DELHI),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00033648872639649083,3.7877331002331003,1.0,13,1250,Tier 3 — Local Spoke
IND465333AAA,SHUJALPUR_ASTRDDPP_D (MADHYA PRADESH),0.0,0.0012077294685990338,0.0006038647342995169,2,1,1.0,0.00035293191171020854,1.6957215836526183,0.5555555555555555,7,1251,Tier 3 — Local Spoke
IND231205AAA,CHOPAN_PREETDPP_D (UTTAR PRADESH),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0002225952163425529,2.3549689440993786,1.0,7,1252,Tier 3 — Local Spoke
IND362150AAA,TALALA_SSNRDDPP_D (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0010297989375163386,1.4642857142857144,0.9090909090909091,22,1253,Tier 3 — Local Spoke
IND151506AAA,JHUNIR_BHARDDPP_D (PUNJAB),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0004841951158541223,1.5066391941391941,0.6055555555555556,23,1254,Tier 3 — Local Spoke
IND000000ACT,DELHI_GATEWAY_HB (DELHI),0.0,0.0,0.0018115942028985505,0,3,1.0,0.00011994491700815865,1.38951871657754,0.705826507234096,160,1255,Tier 3 — Local Spoke
IND140118AAA,ANANDPRSHB_PNJPIARA_D (PUNJAB),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00033911426343287074,1.4,0.6764705882352942,36,1256,Tier 3 — Local Spoke
IND585307AAB,CHINCHOLI_MAINROAD_D (KARNATAKA),0.0,0.0012077294685990338,0.0012077294685990338,2,2,0.0,0.0005427086791823366,1.6416666666666666,0.9861111111111112,43,1257,Tier 3 — Local Spoke
IND140501AAA,LALRU_ONKARDPP_D (PUNJAB),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.00019829150313830946,0.9801809954751132,0.2142857142857143,28,1258,Tier 3 — Local Spoke
IND382715AAA,KADI_KARANNGR_D (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0003482905614973534,1.8349118569370284,1.0,36,1259,Tier 3 — Local Spoke
