source_center,destination_center,source_name,destination_name,median_distance_km,median_osrm_time_h,total_trip_count,pct_afternoon,pct_evening,pct_morning,pct_night,dominant_time_of_day,carting_median_delay,ftl_median_delay,carting_sla_breach_rate,ftl_sla_breach_rate,carting_trip_count,ftl_trip_count,has_both_types,current_route_type,src_betweenness_centrality,src_pagerank,src_in_degree_raw,src_out_degree_raw,src_clustering_coefficient,src_avg_sla_breach_rate,dst_betweenness_centrality,dst_pagerank,dst_in_degree_raw,dst_out_degree_raw,dst_clustering_coefficient,dst_avg_sla_breach_rate,pred_delay_ratio_ftl,pred_delay_ratio_carting,pred_breach_prob_ftl,pred_breach_prob_carting,pred_time_hours_ftl,pred_time_hours_carting,total_cost_ftl_rs,total_cost_carting_rs,recommended_route_type,cost_savings_rs,time_diff_hours,switch_recommended,sla_breach_reduction_shipments
IND000000ACB,IND122001AAA,GURGAON_BILASPUR_HB (HARYANA),GGN_DPC (HARYANA),12.0226,0.2,57,0.2807017543859649,0.3508771929824561,0.03508771929824561,0.3333333333333333,evening,1.25,,0.5789473684210527,,57.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0034199894430092,0.0004265403318422,2.0,5.0,0.1333333333333333,0.9112781954887218,2.0213425,1.7059847,0.9625151,0.910454,0.4042685031890869,0.3411969423294068,29696.177998530577,26988.390293218614,CARTING,2707.787705311963,-0.06307156085968013,False,0.0
IND000000ACB,IND122015AAC,GURGAON_BILASPUR_HB (HARYANA),NAN,12.411950000000001,0.2,2,0.0,0.0,0.0,1.0,night,1.8333333333333335,,1.0,,2.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0002929337461321,1.0,0.0,0.0,1.0,2.3209608,2.225188,0.9997912,0.9996592,0.46419215202331543,0.4450376033782959,3272.8541049293517,1523.7786806411743,CARTING,1749.0754242881774,-0.01915454864501953,False,0.0
IND000000ACB,IND124103AAA,GURGAON_BILASPUR_HB (HARYANA),JHAJJAR_DC (HARYANA),24.464,0.3333333333333333,13,0.7692307692307693,0.23076923076923078,0.0,0.0,afternoon,,1.7142857142857142,,1.0,0.0,13.0,False,FTL,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0002817007052799,1.0,1.0,1.0,1.0,1.9302529,2.8731608,0.9998235,0.99950564,0.6434176365534464,0.9577202796936035,9037.060819204331,7319.986653995514,CARTING,1717.0741652088172,0.3143026431401571,True,0.004132330417633057
IND000000ACB,IND124112AAA,GURGAON_BILASPUR_HB (HARYANA),MEHAM_GMODDPP_D (HARYANA),39.741,0.5,7,0.0,0.0,1.0,0.0,morning,,1.7419354838709675,,0.8571428571428571,0.0,7.0,False,FTL,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0002843096696068,1.0,3.0,0.8333333333333334,0.9642857142857144,1.6994454,3.0993886,0.8434695,0.8245025,0.849722683429718,1.549694299697876,5826.445251895904,4472.808846998215,CARTING,1353.6364048976893,0.699971616268158,True,0.13276880979537964
IND000000ACB,IND125001AAA,GURGAON_BILASPUR_HB (HARYANA),HISAR_MODELTWN_P (HARYANA),23.379900000000003,0.35,15,0.13333333333333333,0.0,0.8666666666666667,0.0,morning,,2.4285714285714284,,0.9333333333333333,0.0,15.0,False,FTL,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0092442496022884,0.0025379589801566,7.0,8.0,0.106060606060606,0.8955555555555555,2.365147,2.899605,0.9507716,0.84100425,0.827801489830017,1.0148617625236511,9645.144576542663,7076.526893253326,CARTING,2568.617683289337,0.18706027269363412,True,1.6465097665786743
IND000000ACB,IND125005AAA,GURGAON_BILASPUR_HB (HARYANA),HISAR_INDSTLAR_I (HARYANA),23.114600000000003,0.3416666666666667,4,1.0,0.0,0.0,0.0,afternoon,,1.4166666666666665,,1.0,0.0,4.0,False,FTL,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0107194601339813,0.0010307238483482,4.0,5.0,0.1428571428571428,0.7777777777777778,1.8165089,1.9589232,0.9413463,0.7355691,0.6206405371427536,0.6692987670501074,4391.213775454712,2226.8682389068604,CARTING,2164.3455365478517,0.0486582299073538,True,0.8231086730957031
IND000000ACB,IND125033AAA,GURGAON_BILASPUR_HB (HARYANA),HANSI_DELRDDPP_D (HARYANA),24.42595,0.30833333333333335,2,0.0,0.0,1.0,0.0,morning,,2.095029239766082,,1.0,0.0,2.0,False,FTL,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0,0.0003695252774436,2.0,2.0,0.8333333333333334,1.0,1.7628378,2.542787,0.99976414,0.9993969,0.5435416450103124,0.7840260148048401,3537.1350444206237,1820.6944202041627,CARTING,1716.440624216461,0.2404843697945277,True,0.0007344484329223633
IND000000ACB,IND127021AAA,GURGAON_BILASPUR_HB (HARYANA),BHIWANI_DC (HARYANA),23.661,0.26666666666666666,2,0.5,0.5,0.0,0.0,afternoon,,2.09375,,1.0,0.0,2.0,False,FTL,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0007980647138666,0.0005569569177183,2.0,1.0,0.3333333333333333,1.0,2.0174034,2.8051143,0.9997261,0.9993436,0.537974230448405,0.7480304718017579,3520.268116657257,1782.3935740470888,CARTING,1737.8745426101682,0.21005624135335288,True,0.0007650852203369141
IND000000ACB,IND131028AAB,GURGAON_BILASPUR_HB (HARYANA),SONIPAT_KUNDLI_H (HARYANA),15.70995,0.2833333333333333,92,0.25,0.22826086956521738,0.16304347826086957,0.358695652173913,night,2.03125,,0.8804347826086957,,92.0,0.0,False,CARTING,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0490225357697116,0.0056194584210409,20.0,20.0,0.0387096774193548,0.8720295087475572,2.0290303,2.1956792,0.9869344,0.9288792,0.5748919248580933,0.6221091032028198,47744.602378546144,43842.64226496124,CARTING,3901.9601135849007,0.047217178344726496,False,0.0
IND000000ACB,IND160002AAC,GURGAON_BILASPUR_HB (HARYANA),CHANDIGARH_MEHMDPUR_H (PUNJAB),25.4077,0.2833333333333333,58,0.20689655172413793,0.1896551724137931,0.27586206896551724,0.3275862068965517,night,,1.8610526315789473,,0.9655172413793104,0.0,58.0,False,FTL,0.2712654207471625,0.0099994555581943,45.0,49.0,0.0371584699453551,0.8712673301405226,0.0412736498484561,0.0083634902090886,32.0,29.0,0.0343300110741971,0.7166145089434037,2.005784,2.304002,0.9920373,0.9415223,0.568305476506551,0.6528005798657736,31328.050992559816,29044.916707057953,CARTING,2283.134285501863,0.0844951033592225,True,2.929869771003723
